agent_id,trace_loaded,benchmark,task_id,correct,raw_scaffold,normalized_harness,tool_exposure_mechanism,tool_exposure_strength,raw_model,normalized_model,reasoning_effort_hint,run_id,source_file,llm_call_count,finish_reasons,length_finish_count,output_code_block_count,final_code_block_count,observation_mentions,error_mentions,tool_registry_prompt,self_debug_prompt,complete_program_prompt,tool_name_mentions,exec_feedback_loop,final_text_chars,valid_program,success_rate,codebert_score,failure_mode,log_info
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,True,scienceagentbench,3,1,SAB Self-Debug Claude-Haiku-4-5,SAB Self-Debug,harness_side_augmentation,heavy,claude-haiku-4-5-20251001,Claude Haiku 4.5,,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip,1,"{""stop"": 1}",0,2,6,0,2,0,1,1,0,0,4976,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
SAB Self-Debug Claude-Haiku-4-5 High__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_high_1761435103,True,scienceagentbench,3,1,SAB Self-Debug Claude-Haiku-4-5 High,SAB Self-Debug,harness_side_augmentation,heavy,claude-haiku-4-5-20251001,Claude Haiku 4.5,high,scienceagentbench_sab_selfdebug_claudehaiku45_high_1761435103,scienceagentbench_sab_selfdebug_claudehaiku45_high_1761435103_UPLOAD.zip,1,"{""stop"": 1}",0,2,6,0,2,0,1,1,0,0,4720,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,True,scienceagentbench,3,1,SAB Self-Debug Claude-Opus-4-1,SAB Self-Debug,harness_side_augmentation,heavy,claude-opus-4-1-20250805,Claude Opus 4.1,,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip,1,"{""stop"": 1}",0,2,6,0,2,0,1,1,0,0,8941,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
SAB Self-Debug Claude-Opus-4-1-High__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,True,scienceagentbench,3,1,SAB Self-Debug Claude-Opus-4-1-High,SAB Self-Debug,harness_side_augmentation,heavy,claude-opus-4-1-20250805,Claude Opus 4.1,high,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590_UPLOAD.zip,1,"{""stop"": 1}",0,2,6,0,2,0,1,1,0,0,7422,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,True,scienceagentbench,3,1,SAB Self-Debug Claude-Sonnet-4-5,SAB Self-Debug,harness_side_augmentation,heavy,claude-sonnet-4-5-20250929,Claude Sonnet 4.5,,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip,1,"{""stop"": 1}",0,2,6,0,2,0,1,1,0,0,6752,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
SAB Self-Debug Claude-Sonnet-4-5 High__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_high_1761419019,True,scienceagentbench,3,1,SAB Self-Debug Claude-Sonnet-4-5 High,SAB Self-Debug,harness_side_augmentation,heavy,claude-sonnet-4-5-20250929,Claude Sonnet 4.5,high,scienceagentbench_sab_selfdebug_claudesonnet45_high_1761419019,scienceagentbench_sab_selfdebug_claudesonnet45_high_1761419019_UPLOAD.zip,1,"{""stop"": 1}",0,2,6,0,2,0,1,1,0,0,5279,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
sab_selfdebug_dsr1__together_ai/deepseek-ai/DeepSeek-R1__scienceagentbench_sab_selfdebug_dsr1_1744769491,True,scienceagentbench,3,1,sab_selfdebug_dsr1,SAB Self-Debug,harness_side_augmentation,heavy,together_ai/deepseek-ai/DeepSeek-R1,DeepSeek R1,,scienceagentbench_sab_selfdebug_dsr1_1744769491,scienceagentbench_sab_selfdebug_dsr1_1744769491_UPLOAD.zip,4,"{""stop"": 4}",0,8,8,0,42,0,1,1,0,0,11480,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
SAB Self-Debug DS-V3__together_ai/deepseek-ai/DeepSeek-V3__scienceagentbench_sab_selfdebug_dsv3_1744757465,True,scienceagentbench,3,1,SAB Self-Debug DS-V3,SAB Self-Debug,harness_side_augmentation,heavy,together_ai/deepseek-ai/DeepSeek-V3,DeepSeek V3 / Chat,,scienceagentbench_sab_selfdebug_dsv3_1744757465,scienceagentbench_sab_selfdebug_dsv3_1744757465_UPLOAD.zip,8,"{""stop"": 8}",0,16,12,0,49,0,1,1,0,0,26749,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
SAB Self-Debug gemini-2-0-flash__gemini/gemini-2.0-flash__scienceagentbench_sab_selfdebug_gemini20flash_1744901453,True,scienceagentbench,3,1,SAB Self-Debug gemini-2-0-flash,SAB Self-Debug,harness_side_augmentation,heavy,gemini/gemini-2.0-flash,Gemini 2.0 Flash,,scienceagentbench_sab_selfdebug_gemini20flash_1744901453,scienceagentbench_sab_selfdebug_gemini20flash_1744901453_UPLOAD.zip,3,"{""stop"": 3}",0,6,10,0,18,0,1,1,0,0,14364,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
SAB Self-Debug gemini-2-5-pro__gemini/gemini-2.5-pro-preview-03-25__scienceagentbench_sab_selfdebug_gemini25pro_1744919608,True,scienceagentbench,3,1,SAB Self-Debug gemini-2-5-pro,SAB Self-Debug,harness_side_augmentation,heavy,gemini/gemini-2.5-pro-preview-03-25,Gemini 2.5 Pro Preview,,scienceagentbench_sab_selfdebug_gemini25pro_1744919608,scienceagentbench_sab_selfdebug_gemini25pro_1744919608_UPLOAD.zip,1,"{""stop"": 1}",0,2,6,0,14,0,1,1,0,0,7334,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
SAB Self-Debug GPT-5-Medium__gpt-5-2025-08-07__scienceagentbench_sab_selfdebug_gpt5medium_1755353093,True,scienceagentbench,3,1,SAB Self-Debug GPT-5-Medium,SAB Self-Debug,harness_side_augmentation,heavy,gpt-5-2025-08-07,GPT-5,medium,scienceagentbench_sab_selfdebug_gpt5medium_1755353093,scienceagentbench_sab_selfdebug_gpt5medium_1755353093_UPLOAD.zip,2,"{""stop"": 2}",0,4,6,0,6,0,1,1,0,0,8689,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
sab_selfdebug_gpt_41__gpt-4.1-2025-04-14__scienceagentbench_sab_selfdebug_gpt_41_1744993235,True,scienceagentbench,3,1,sab_selfdebug_gpt_41,SAB Self-Debug,harness_side_augmentation,heavy,gpt-4.1-2025-04-14,GPT-4.1,,scienceagentbench_sab_selfdebug_gpt_41_1744993235,scienceagentbench_sab_selfdebug_gpt_41_1744993235_UPLOAD.zip,2,"{""stop"": 2}",0,4,6,0,3,0,1,1,0,0,5392,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
SAB Self-Debug o3 medium__o3-2025-04-16__scienceagentbench_sab_selfdebug_o3_medium_1745186112,True,scienceagentbench,3,1,SAB Self-Debug o3 medium,SAB Self-Debug,harness_side_augmentation,heavy,o3-2025-04-16,o3,medium,scienceagentbench_sab_selfdebug_o3_medium_1745186112,scienceagentbench_sab_selfdebug_o3_medium_1745186112_UPLOAD.zip,2,"{""stop"": 2}",0,4,6,0,3,0,1,1,0,0,7956,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
SAB Self-Debug o4-mini high__o4-mini-2025-04-16__scienceagentbench_sab_selfdebug_o4mini_high_1745253602,True,scienceagentbench,3,1,SAB Self-Debug o4-mini high,SAB Self-Debug,harness_side_augmentation,heavy,o4-mini-2025-04-16,o4-mini,high,scienceagentbench_sab_selfdebug_o4mini_high_1745253602,scienceagentbench_sab_selfdebug_o4mini_high_1745253602_UPLOAD.zip,2,"{""stop"": 2}",0,4,6,0,3,0,1,1,0,0,4841,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
SAB Self-Debug o4-mini low__o4-mini-2025-04-16__scienceagentbench_sab_selfdebug_o4mini_low_1745199029,True,scienceagentbench,3,1,SAB Self-Debug o4-mini low,SAB Self-Debug,harness_side_augmentation,heavy,o4-mini-2025-04-16,o4-mini,low,scienceagentbench_sab_selfdebug_o4mini_low_1745199029,scienceagentbench_sab_selfdebug_o4mini_low_1745199029_UPLOAD.zip,2,"{""stop"": 2}",0,4,6,0,3,0,1,1,0,0,5760,1,1,1.0,success,"{'data_correctness': True, 'func_correctness': True}"
