agent_id,is_train_agent,f_agent,model_name,model_provider,model_family,scaffold_name,scaffold_tool_exposure_mechanism
Assistantbench Browser Agent__openai/gpt-5__assistantbench_assistantbench_browser_agent_gpt5_1754598271,True,13.531840324401855,GPT-5,OpenAI,GPT,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__openai/gpt-5__assistantbench_assistantbench_browser_agent_gpt5_1754633901,True,13.531840324401855,GPT-5,OpenAI,GPT,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__openai/o3-2025-04-16__assistantbench_assistantbench_browser_agent_o320250416_1750104946,True,14.771303176879883,o3,OpenAI,o-series,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__openai/o4-mini-2025-04-16__assistantbench_assistantbench_browser_agent_o4mini20250416_1746227177,True,14.771303176879883,o4-mini,OpenAI,o-series,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__openai/o4-mini-2025-04-16__assistantbench_assistantbench_browser_agent_o4mini20250416_high_1746297478,True,14.771303176879883,o4-mini,OpenAI,o-series,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__openai/o4-mini-2025-04-16__assistantbench_assistantbench_browser_agent_o4mini20250416_low_1746374633,True,14.771303176879883,o4-mini,OpenAI,o-series,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__openrouter/anthropic/claude-opus-4.1__assistantbench_assistantbench_browser_agent_claudeopus4120250514_1754678912,True,11.469408988952637,Claude Opus 4.1,Anthropic via OpenRouter,Claude Opus,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__openrouter/anthropic/claude-opus-4.1__assistantbench_assistantbench_browser_agent_claudeopus41_high_1755199872,True,11.469408988952637,Claude Opus 4.1,Anthropic via OpenRouter,Claude Opus,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__openrouter/anthropic/claude-sonnet-4.5__assistantbench_assistantbench_browser_agent_claudesonnet45_high_1759427714,True,13.585050582885742,Claude Sonnet 4.5,Anthropic via OpenRouter,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control
Browser-Use__gpt-4.1-2025-04-14__browser-use_gpt-4.1-2025-04-14,True,13.531840324401855,GPT-4.1,OpenAI,GPT,Browser-Use,framework_mediated_browser_control
Browser-Use__gpt-5-2025-08-07__browser-use_gpt-5_reasoning_effort_high,True,13.531840324401855,GPT-5,OpenAI,GPT,Browser-Use,framework_mediated_browser_control
Browser-Use__gpt-5-2025-08-07__browser-use_gpt-5_reasoning_effort_medium,True,13.531840324401855,GPT-5,OpenAI,GPT,Browser-Use,framework_mediated_browser_control
Browser-Use__gpt-5-2025-08-07__browser-use_gpt-5_reasoning_effort_minimal,True,13.531840324401855,GPT-5,OpenAI,GPT,Browser-Use,framework_mediated_browser_control
Browser-Use__o3-2025-04-16__browser-use_o3-2025-04-16,True,14.771303176879883,o3,OpenAI,o-series,Browser-Use,framework_mediated_browser_control
Browser-Use__o4-mini-2025-04-16__browser-use_o4-mini_reasoning_effort_high,True,14.771303176879883,o4-mini,OpenAI,o-series,Browser-Use,framework_mediated_browser_control
Browser-Use__o4-mini-2025-04-16__browser-use_o4-mini_reasoning_effort_low,True,14.771303176879883,o4-mini,OpenAI,o-series,Browser-Use,framework_mediated_browser_control
Browser-Use_test__claude-3-7-sonnet-20250219__browser-use_claude-3-7-sonnet-20250219,True,12.789392471313477,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,Browser-Use,framework_mediated_browser_control
Browser-Use_test__claude-3-7-sonnet-20250219__browser-use_claude-3-7-sonnet-20250219_thinking_high_4096,True,12.789392471313477,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,Browser-Use,framework_mediated_browser_control
Browser-Use_test__claude-haiku-4-5-20251001__browser-use_claude-haiku-4-5-20251001,True,13.066736221313477,Claude Haiku 4.5,Anthropic,Claude Haiku,Browser-Use,framework_mediated_browser_control
Browser-Use_test__claude-haiku-4-5-20251001__browser-use_claude-haiku-4-5-20251001_thinking_high_4096,True,13.066736221313477,Claude Haiku 4.5,Anthropic,Claude Haiku,Browser-Use,framework_mediated_browser_control
Browser-Use_test__claude-sonnet-4-20250514__browser-use_claude-sonnet-4-20250514,True,12.789392471313477,Claude Sonnet 4,Anthropic,Claude Sonnet,Browser-Use,framework_mediated_browser_control
Browser-Use_test__claude-sonnet-4-20250514__browser-use_claude-sonnet-4-20250514_thinking_high_4096,True,12.789392471313477,Claude Sonnet 4,Anthropic,Claude Sonnet,Browser-Use,framework_mediated_browser_control
Browser-Use_test__claude-sonnet-4-5-20250929__browser-use_claude-sonnet-4-5-20250929,True,12.789392471313477,Claude Sonnet 4.5,Anthropic,Claude Sonnet,Browser-Use,framework_mediated_browser_control
Browser-Use_test__claude-sonnet-4-5-20250929__browser-use_claude-sonnet-4-5-20250929_thinking_high_4096,True,12.789392471313477,Claude Sonnet 4.5,Anthropic,Claude Sonnet,Browser-Use,framework_mediated_browser_control
Browser-Use_test__deepseek-ai/DeepSeek-R1__browser-use_DeepSeek-R1,True,17.494718551635742,DeepSeek R1,DeepSeek,DeepSeek R1,Browser-Use,framework_mediated_browser_control
Browser-Use_test__deepseek-ai/DeepSeek-V3__browser-use_DeepSeek-V3,False,16.21285057067871,DeepSeek V3 / Chat,DeepSeek,DeepSeek V3,Browser-Use,framework_mediated_browser_control
Browser-Use_test__gemini-2.0-flash__browser-use_gemini-2.0-flash,True,21.932199478149414,Gemini 2.0 Flash,Google,Gemini Flash,Browser-Use,framework_mediated_browser_control
Browser-Use_test__gemini-2.5-pro-preview-03-25__browser-use_gemini-2.5-pro-preview-03-25,True,12.561539649963379,Gemini 2.5 Pro Preview,Google,Gemini Pro,Browser-Use,framework_mediated_browser_control
"CORE-Agent(Claude-
Sonnet-4-5)__claude-sonnet-4-5__corebench_hard_coreagentclaudesonnet45_1759329435",True,4.658937454223633,Claude Sonnet 4.5,Anthropic,Claude Sonnet,CORE-Agent,code_agent_tool_registry
CORE-Agent__anthropic/claude-sonnet-4-5__corebench_hard_coreagentclaudesonnet45high_1759330487,True,4.658937454223633,Claude Sonnet 4.5,Anthropic,Claude Sonnet,CORE-Agent,code_agent_tool_registry
CORE-Agent__claude-3-7-sonnet-20250219__corebench_hard_coreagent_1744922181,True,4.658937454223633,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,CORE-Agent,code_agent_tool_registry
CORE-Agent__claude-3-7-sonnet-20250219__corebench_hard_coreagent_1745118908,True,4.658937454223633,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,CORE-Agent,code_agent_tool_registry
CORE-Agent__claude-3-7-sonnet-20250219__corebench_hard_coreagent_1745258007,True,4.658937454223633,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,CORE-Agent,code_agent_tool_registry
CORE-Agent__claude-haiku-4-5__corebench_hard_coreagentclaudehaiku45_1760647306,True,5.103773593902588,Claude Haiku 4.5,Anthropic,Claude Haiku,CORE-Agent,code_agent_tool_registry
CORE-Agent__claude-sonnet-4-20250514__corebench_hard_coreagentclaudesonnet4_1755796611,True,4.658937454223633,Claude Sonnet 4,Anthropic,Claude Sonnet,CORE-Agent,code_agent_tool_registry
CORE-Agent__claude-sonnet-4-20250514__corebench_hard_coreagentclaudesonnet4high_1755814601,True,4.658937454223633,Claude Sonnet 4,Anthropic,Claude Sonnet,CORE-Agent,code_agent_tool_registry
CORE-Agent__gemini/gemini-2.0-flash__corebench_hard_coreagent_1744856042,True,15.166061401367188,Gemini 2.0 Flash,Google,Gemini Flash,CORE-Agent,code_agent_tool_registry
CORE-Agent__gemini/gemini-2.5-pro-preview-03-25__corebench_hard_coreagent_1744922265,True,5.122666835784912,Gemini 2.5 Pro Preview,Google,Gemini Pro,CORE-Agent,code_agent_tool_registry
CORE-Agent__gpt-4.1-2025-04-14__corebench_hard_coreagent_1744752123,True,8.017154693603516,GPT-4.1,OpenAI,GPT,CORE-Agent,code_agent_tool_registry
CORE-Agent__o3-2025-04-16__corebench_hard_coreagent_1745118876,False,9.384612083435059,o3,OpenAI,o-series,CORE-Agent,code_agent_tool_registry
CORE-Agent__o3-mini-2025-01-31__corebench_hard_coreagent_1744922343,True,9.384612083435059,o3-mini,OpenAI,o-series,CORE-Agent,code_agent_tool_registry
CORE-Agent__o4-mini-2025-04-16__corebench_hard_coreagent_1745046580,True,9.384612083435059,o4-mini,OpenAI,o-series,CORE-Agent,code_agent_tool_registry
CORE-Agent__o4-mini-2025-04-16__corebench_hard_coreagent_1745075792,True,9.384612083435059,o4-mini,OpenAI,o-series,CORE-Agent,code_agent_tool_registry
CORE-Agent__openai/gpt-5-2025-08-07__corebench_hard_coreagent_1754599494,True,8.017154693603516,GPT-5,OpenAI,GPT,CORE-Agent,code_agent_tool_registry
CORE-Agent__openrouter/anthropic/claude-opus-4.1__corebench_hard_coreagent_1754492675,True,3.4452147483825684,Claude Opus 4.1,Anthropic via OpenRouter,Claude Opus,CORE-Agent,code_agent_tool_registry
CORE-Agent__openrouter/anthropic/claude-opus-4.1__corebench_hard_coreagent_1754539779,True,3.4452147483825684,Claude Opus 4.1,Anthropic via OpenRouter,Claude Opus,CORE-Agent,code_agent_tool_registry
CORE-Agent__openrouter/deepseek/deepseek-chat-v3.1__corebench_hard_coreagentdeepseekv31_1755793007,True,13.269706726074219,DeepSeek V3 / Chat,DeepSeek via OpenRouter,DeepSeek V3,CORE-Agent,code_agent_tool_registry
CORE-Agent__openrouter/openai/gpt-oss-120b__corebench_hard_coreagent_1754492673,True,12.682073593139648,GPT-OSS 120B,OpenAI via OpenRouter,GPT-OSS,CORE-Agent,code_agent_tool_registry
CORE-Agent__openrouter/openai/gpt-oss-120b__corebench_hard_coreagent_1754539776,True,12.682073593139648,GPT-OSS 120B,OpenAI via OpenRouter,GPT-OSS,CORE-Agent,code_agent_tool_registry
CORE-Agent__together_ai/deepseek-ai/DeepSeek-R1__corebench_hard_coreagent_1744922373,True,15.700043678283691,DeepSeek R1,DeepSeek via Together AI,DeepSeek R1,CORE-Agent,code_agent_tool_registry
CORE-Agent__together_ai/deepseek-ai/DeepSeek-V3__corebench_hard_coreagent_1744854746,True,14.416004180908203,DeepSeek V3 / Chat,DeepSeek via Together AI,DeepSeek V3,CORE-Agent,code_agent_tool_registry
Claude Code__claude-opus-4-1__corebench_hard_claude_code_claudeopus41_1764560915,True,0.5195631980895996,Claude Opus 4.1,Anthropic,Claude Opus,Claude Code,text_action_protocol
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,True,0.5195631980895996,Claude Opus 4.5,Anthropic,Claude Opus,Claude Code,text_action_protocol
Claude Code__claude-sonnet-4-20250514__corebench_hard_claude_code_claudesonnet420250514_1764558813,True,0.685428261756897,Claude Sonnet 4,Anthropic,Claude Sonnet,Claude Code,text_action_protocol
Claude Code__claude-sonnet-4-5-20250929__corebench_hard_claude_code_claudesonnet4520250929_1764605733,False,0.685428261756897,Claude Sonnet 4.5,Anthropic,Claude Sonnet,Claude Code,text_action_protocol
Core Agent Opus 4.5 high__claude-opus-4-5-20251101__corebench_hard_core_agent_opus_45_high_1764027725,True,2.57669734954834,Claude Opus 4.5,Anthropic,Claude Opus,CORE-Agent,code_agent_tool_registry
Core Agent Opus 4.5__claude-opus-4-5-20251101__corebench_hard_core_agent_opus_45_1764027531,True,2.57669734954834,Claude Opus 4.5,Anthropic,Claude Opus,CORE-Agent,code_agent_tool_registry
Core Agent__google/gemini-3-pro-preview__corebench_hard_core_agent_1763842609,True,5.122666835784912,Gemini 3 Pro Preview,Google,Gemini Pro,CORE-Agent,code_agent_tool_registry
Core-Agent__openrouter/deepseek/deepseek-r1__corebench_hard_coreagentdeepseekr1_1757604883,True,14.553407669067383,DeepSeek R1,DeepSeek via OpenRouter,DeepSeek R1,CORE-Agent,code_agent_tool_registry
Coreagent__anthropic/claude-opus-4-5-20251101__corebench_hard_coreagentclaudeopus45_1765822018,True,2.57669734954834,Claude Opus 4.5,Anthropic,Claude Opus,CORE-Agent,code_agent_tool_registry
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__assistantbench_hal_generalist_agent_claude37sonnet20250219_1746223066,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__assistantbench_hal_generalist_agent_claude37sonnet20250219_high_1748661923,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__assistantbench_hal_generalist_agent_claude37sonnet20250219_low_1748660152,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__corebench_hard_hal_generalist_agent_1747200995,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__corebench_hard_hal_generalist_agent_1748734902,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__corebench_hard_hal_generalist_agent_1748793241,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__corebench_hard_hal_generalist_agent_1748971685,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__corebench_hard_hal_generalist_agent_1749067899,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__gaia_hal_generalist_agent_claude37sonnet20250219_1744772193,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__gaia_hal_generalist_agent_claude37sonnet20250219_high_1744730242,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_1745706693,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__scienceagentbench_hal_generalist_agent_claude37sonnet20250219_1746110849,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__scienceagentbench_hal_generalist_agent_claude37sonnet20250219_high_1746405109,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__swebench_verified_mini_hal_generalist_agent_claude37sonnet20250219_1744644286,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_high_1746060636,True,6.887030124664307,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-haiku-4-5__gaia_hal_generalist_agent_claudehaiku45_1760657477,True,7.278348922729492,Claude Haiku 4.5,Anthropic,Claude Haiku,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-opus-4-20250514__gaia_hal_generalist_agent_claudeopus420250514_1754344946,True,4.7479753494262695,Claude Opus 4,Anthropic,Claude Opus,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__claude-opus-4-20250514__gaia_hal_generalist_agent_claudeopus420250514_1754374886,True,4.7479753494262695,Claude Opus 4,Anthropic,Claude Opus,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__gemini/gemini-2.0-flash__assistantbench_hal_generalist_agent_gemini20flash_1746220438,True,17.452775955200195,Gemini 2.0 Flash,Google,Gemini Flash,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__gemini/gemini-2.0-flash__corebench_hard_hal_generalist_agent_1747201030,True,17.452775955200195,Gemini 2.0 Flash,Google,Gemini Flash,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__gemini/gemini-2.0-flash__gaia_hal_generalist_agent_gemini20flash_1744828175,True,17.452775955200195,Gemini 2.0 Flash,Google,Gemini Flash,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__gemini/gemini-2.0-flash__scicode_hal_generalist_agent_gemini20flash_1745628676,True,17.452775955200195,Gemini 2.0 Flash,Google,Gemini Flash,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,False,17.452775955200195,Gemini 2.0 Flash,Google,Gemini Flash,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__gemini/gemini-2.5-pro-preview-03-25__corebench_hard_hal_generalist_agent_1747247518,True,7.479517936706543,Gemini 2.5 Pro Preview,Google,Gemini Pro,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__google/gemini-3-pro-preview__corebench_hard_hal_generalist_agent_1763837773,True,7.479517936706543,Gemini 3 Pro Preview,Google,Gemini Pro,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agent_1747200929,True,10.561351776123047,GPT-4.1,OpenAI,GPT,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__gpt-4.1-2025-04-14__scienceagentbench_hal_generalist_agent_gpt4120250414_1745541259,True,10.561351776123047,GPT-4.1,OpenAI,GPT,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__gpt-4.1-2025-04-14__swebench_verified_mini_hal_generalist_agent_gpt4120250414_1744667697,True,10.561351776123047,GPT-4.1,OpenAI,GPT,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__gpt-4.1-2025-04-14__taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,True,10.561351776123047,GPT-4.1,OpenAI,GPT,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__gpt-4.1-2025-04-14__usaco_hal_generalist_agent_gpt4120250414_1750887884,False,10.561351776123047,GPT-4.1,OpenAI,GPT,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__gpt-4o-2024-11-20__swebench_verified_mini_hal_generalist_agent_gpt4o20241120_1744598787,True,10.561351776123047,GPT-4o,OpenAI,GPT,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__gpt-5-2025-08-07__gaia_hal_generalist_agent_gpt520250807_1758875386,True,10.561351776123047,GPT-5,OpenAI,GPT,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__gpt-5__corebench_hard_hal_generalist_agentgpt5medium_1756137340,True,10.561351776123047,GPT-5,OpenAI,GPT,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o3-2025-04-16__corebench_hard_hal_generalist_agent_1747360523,False,11.950939178466797,o3,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o3-2025-04-16__corebench_hard_hal_generalist_agento3medium_1755626315,False,11.950939178466797,o3,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o3-2025-04-16__gaia_hal_generalist_agent_o320250416_1753903002,True,11.950939178466797,o3,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o3-2025-04-16__scienceagentbench_hal_generalist_agent_o320250416_1746110877,False,11.950939178466797,o3,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,True,11.950939178466797,o3,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o3-mini-2025-01-31__gaia_hal_generalist_agent_o3mini20250131_1744609696,True,11.950939178466797,o3-mini,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o3-mini-2025-01-31__gaia_hal_generalist_agent_o3mini20250131_high_1744670471,True,11.950939178466797,o3-mini,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o4-mini-2025-04-16__corebench_hard_hal_generalist_agent_1747247482,True,11.950939178466797,o4-mini,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o4-mini-2025-04-16__corebench_hard_hal_generalist_agent_1747285818,True,11.950939178466797,o4-mini,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o4-mini-2025-04-16__gaia_hal_generalist_agent_o4mini20250416_high_1745167285,True,11.950939178466797,o4-mini,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o4-mini-2025-04-16__gaia_hal_generalist_agent_o4mini20250416_low_1745167262,True,11.950939178466797,o4-mini,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o4-mini-2025-04-16__scienceagentbench_hal_generalist_agent_o4mini20250416_high_1746044352,True,11.950939178466797,o4-mini,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o4-mini-2025-04-16__scienceagentbench_hal_generalist_agent_o4mini20250416_low_1746044336,True,11.950939178466797,o4-mini,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o4-mini-2025-04-16__swebench_verified_mini_hal_generalist_agent_o4mini20250416_high_1753778285,True,11.950939178466797,o4-mini,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o4-mini-2025-04-16__swebench_verified_mini_hal_generalist_agent_o4mini20250416_low_1753776027,True,11.950939178466797,o4-mini,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o4-mini-2025-04-16__taubench_airline_hal_generalist_agent_o4mini20250416_high_1745167079,True,11.950939178466797,o4-mini,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__o4-mini-2025-04-16__taubench_airline_hal_generalist_agent_o4mini20250416_low_1745166691,True,11.950939178466797,o4-mini,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__openai/gpt-4.1-2025-04-14__corebench_hard_hal_generalist_agentgpt41_1755644685,True,10.561351776123047,GPT-4.1,OpenAI,GPT,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__openai/gpt-4.1-2025-04-14__gaia_hal_generalist_agent_gpt4120250414_1744652581,False,10.561351776123047,GPT-4.1,OpenAI,GPT,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__openai/o4-mini-2025-04-16__corebench_hard_hal_generalist_agento4minihigh_1755580383,True,11.950939178466797,o4-mini,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__openai/o4-mini-2025-04-16__corebench_hard_hal_generalist_agento4minilow_1755608756,True,11.950939178466797,o4-mini,OpenAI,o-series,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__openrouter/anthropic/claude-3.7-sonnet:thinking__corebench_hard_hal_generalist_agentsonnet_37_high_1755663010,True,7.6328535079956055,Claude 3.7 Sonnet,Anthropic via OpenRouter,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__openrouter/anthropic/claude-3.7-sonnet__corebench_hard_hal_generalist_agentsonnet_37_1755652380,True,7.6328535079956055,Claude 3.7 Sonnet,Anthropic via OpenRouter,Claude Sonnet,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__openrouter/anthropic/claude-opus-4.1__assistantbench_hal_generalist_agent_claudeopus4120250514_1754545969,True,5.6675286293029785,Claude Opus 4.1,Anthropic via OpenRouter,Claude Opus,HAL Generalist Agent,code_agent_tool_registry
HAL Generalist Agent__openrouter/anthropic/claude-opus-4.1__assistantbench_hal_generalist_agent_claudeopus4120250514_high_1754543029,True,5.6675286293029785,Claude Opus 4.1,Anthropic via OpenRouter,Claude Opus,HAL Generalist Agent,code_agent_tool_registry
